id,Theme,SetName,USRetailPrice,Pieces,Minifigs,,
45345,Education,SPIKE Essential Set,319.95,442,4,,
76391,Harry Potter,Hogwarts Icons - Collectors' Edition,299.99,3010,3,,
10273,Icons,Haunted House,299.99,3231,10,,
10272,Creator Expert,Old Trafford - Manchester United,299.99,3898,,,
21335,Ideas,Motorized Lighthouse,299.99,2065,2,,
21330,Ideas,Home Alone,299.99,3955,5,,
77092,The Legend of Zelda,Great Deku Tree 2-in-1,299.99,2500,4,,
10326,Icons,Natural History Museum,299.99,4014,9,,
76271,DC Comics Super Heroes,Batman: The Animated Series Gotham City,299.99,4210,4,,
21344,Ideas,The Orient Express Train,299.99,2540,8,,
910043,Bricklink,Forest Stronghold,299.99,3395,,,
75059,Star Wars,Sandcrawler,299.99,3296,14,,
70840,The LEGO Movie 2,Welcome to Apocalypseburg!,299.99,3178,13,,
42082,Technic,Rough Terrain Crane,299.99,4057,,,
42056,Technic,Porsche 911 GT3 RS,299.99,2704,,,
70620,The LEGO Ninjago Movie,NINJAGO City,299.99,4867,19,,
10255,Creator Expert,Assembly Square,299.99,4002,9,,
10189,Advanced models,Taj Mahal,299.99,5922,,,
2853656,Gear,3-Seat Playtable,299.99,,,,
5007062,Super Mario,The Ultimate Bundle,299.95,3009,,,
45028,Education,My XL World,299.95,480,6,,
910023,Bricklink,Venetian Houses,289.99,3470,13,,
910042,Bricklink,Lost City,289.99,3506,,,
42070,Technic,6x6 All Terrain Tow Truck,289.99,1862,,,
42055,Technic,Bucket Wheel Excavator,279.99,3929,,,
8547,Mindstorms,Mindstorms NXT 2.0,279.99,619,,,
910034,Bricklink,Brick Cross Train Station,279.99,3050,8,,
10335,Icons,The Endurance,269.99,3011,,,
71411,Super Mario,The Mighty Bowser,269.99,2807,,,
10323,Icons,PAC-MAN Arcade,269.99,2651,1,,
71374,Super Mario,Nintendo Entertainment System,269.99,2646,1,,
76240,DC Comics Super Heroes,Batmobile Tumbler,269.99,2049,2,,
10143,Star Wars,Death Star II,269.99,3449,,,
10030,Star Wars,Imperial Star Destroyer,269.99,3096,,,
76052,DC Comics Super Heroes,Batman Classic TV Series - Batcave,269.99,2526,9,,
70922,The LEGO Batman Movie,The Joker Manor,269.99,3444,10,,
10212,Star Wars,Imperial Shuttle,259.99,2503,5,,
76437,Harry Potter,The Burrow - Collectors' Edition,259.99,2405,10,,
10341,Icons,NASA Artemis Space Launch System,259.99,3601,,,
9680,Education,"Energy Work, Power Starter Set",250,804,,,
9797,Education,Mindstorms Education Base Set,250,431,,,
8527,Mindstorms,Mindstorms NXT,249.99,577,,,
10195,Star Wars,Republic Dropship with AT-OT,249.99,1758,8,,
10196,Advanced models,Grand Carousel,249.99,3263,9,,
4509,Gear,3-Seat Playtable,249.99,,,,
76139,DC Comics Super Heroes,1989 Batmobile,249.99,3306,3,,
21318,Ideas,Tree House,249.99,3036,4,,
42099,Technic,4x4 X-Treme Off-Roader,249.99,958,,,
75936,Jurassic World,Jurassic Park: T. rex Rampage,249.99,3120,6,,
10253,Creator Expert,Big Ben,249.99,4163,,,
75098,Star Wars,Assault on Hoth,249.99,2144,15,,
2000451,Education,The Panama Canal,249.99,1184,1,,
21137,Minecraft,The Mountain Cave,249.99,2863,6,,
10236,Star Wars,Ewok Village,249.99,1990,17,,
70810,The LEGO Movie,MetalBeard's Sea Cow,249.99,2741,5,,
42030,Technic,Volvo L350F Wheel Loader,249.99,1636,,,
42177,Technic,Mercedes-Benz G 500 PROFESSIONAL Line,249.99,2891,,,
71814,Ninjago,Tournament Temple City ,249.99,3489,14,,
21327,Ideas,Typewriter,249.99,2079,,,
31203,Art,World Map,249.99,11695,,,
42114,Technic,6x6 Volvo Articulated Hauler,249.99,2193,,,
910027,Bricklink,Mountain View Observatory,249.99,3876,11,,
76218,Marvel Super Heroes,Sanctum Sanctorum,249.99,2708,9,,
21337,Ideas,Table Football,249.99,2339,22,,
88016,Powered Up,Large Hub,249.99,2,,,
42130,Technic,BMW M 1000 RR,249.99,1920,,,
45002,Education,Tech Machines Set,249.95,95,6,,
45025,Education,Coding Express,249.95,234,6,,
9024,Education,LEGO Soft Imagination Set,240,74,,,
10214,Advanced models,Tower Bridge,239.99,4287,,,
75341,Star Wars,Luke Skywalker's Landspeeder,239.99,1890,2,,
10306,Icons,Atari 2600,239.99,2532,1,,
42159,Technic,Yamaha MT-10 SP,239.99,1478,,,
75355,Star Wars,X-wing Starfighter,239.99,1949,2,,
10317,Icons,Land Rover Classic Defender 90,239.99,2336,,,
10274,Icons,Ghostbusters ECTO-1,239.99,2352,,,
75308,Star Wars,R2-D2,239.99,2314,1,,
910038,Bricklink,Ominous Isle,239.99,2809,1,,
9020,Dacta,LEGO Soft Starter Set,235.75,84,,,
60198,City,Cargo Train,229.99,1226,6,,
70657,The LEGO Ninjago Movie,NINJAGO City Docks,229.99,3553,14,,
42043,Technic,Mercedes-Benz Arocs 3245,229.99,2793,,,
910033,Bricklink,Old Train Engine Shed,229.99,2331,6,,
21061,Architecture,Notre-Dame de Paris,229.99,4383,,,
75382,Star Wars,TIE Interceptor,229.99,1931,2,,
10332,Icons,Medieval Town Square,229.99,3304,8,,
910039,Bricklink,The Art of Chocolate,229.99,2615,,,
10350,Icons,Tudor Corner,229.99,3266,,,
42206,Technic,Oracle Red Bull Racing RB20 F1 Car,229.99,1639,,,
42207,Technic,Ferrari SF-24 F1 Car,229.99,1361,,,
21341,Ideas,Disney Hocus Pocus: The Sanderson Sisters' Cottage,229.99,2316,9,,
10312,Icons,Jazz Club,229.99,2899,8,,
910013,Bricklink,Retro Bowling Alley,229.99,2779,5,,
21332,Ideas,The Globe,229.99,2585,,,
10297,Icons,Boutique Hotel,229.99,3066,7,,
45500,Mindstorms,EV3 Intelligent Brick,224.95,1,,,
45300,Education,WeDo 2.0 Core Set,224.95,280,,,
9701,Dacta,Control Lab Building Set,221,527,,,
42009,Technic,Mobile Crane MK II,219.99,2606,,,
43197,Disney,The Ice Castle,219.99,1709,9,,
43242,Disney,Snow White and the Seven Dwarfs' Cottage,219.99,2208,10,,
42171,Technic,Mercedes-AMG F1 W14 E Performance,219.99,1642,,,
42182,Technic,NASA Apollo Lunar Roving Vehicle - LRV,219.99,1913,,,
45609,Education,Small Hub,219.95,2,,,
45024,Education,STEAM Park,219.95,295,6,,
8485,Technic,Control Centre II,219,1079,,,
10320,Icons,Eldorado Fortress,214.99,2509,9,,
42145,Technic,Airbus H175 Rescue Helicopter,209.99,2001,,,
910035,Bricklink,Logging Railway,209.99,2731,3,,
9719,Mindstorms,Robotics Invention System,200,733,,,
9747,Mindstorms,Robotics Invention System 1.5,200,717,,,
9793,Education,Team Challenge Set with Serial Transmitter,200,833,,,
9794,Education,Team Challenge Set with USB Transmitter,200,831,,,
3804,Mindstorms,Robotics Invention System V2.0,200,717,,,
10019,Star Wars,Rebel Blockade Runner,200,1747,,,
10181,Advanced models,Eiffel Tower ,199.99,3428,,,
60040,Gear,Building Table,199.99,,,,
8043,Technic,Motorized Excavator,199.99,1123,,,
852293,Gear,Castle Giant Chess Set,199.99,,33,,
75181,Star Wars,Y-wing Starfighter,199.99,1967,2,,
10257,Creator Expert,Carousel,199.99,2670,7,,
10268,Creator Expert,Vestas Wind Turbine,199.99,826,3,,
10264,Creator Expert,Corner Garage,199.99,2569,6,,
42110,Technic,Land Rover Defender,199.99,2573,,,
BL19001,Bricklink,Löwenstein Castle,199.99,2015,3,,
75244,Star Wars,Tantive IV,199.99,1768,6,,
75810,Stranger Things,The Upside Down,199.99,2287,8,,
75253,Star Wars,Droid Commander,199.99,1177,,,
75144,Star Wars,Snowspeeder,199.99,1703,2,,
21128,Minecraft,The Village,199.99,1600,9,,
71042,Pirates of the Caribbean,Silent Mary,199.99,2294,8,,
10240,Star Wars,Red Five X-wing Starfighter,199.99,1559,1,,
21010,Architecture,Robie House,199.99,2276,,,
8110,Technic,Mercedes-Benz Unimog U 400,199.99,2048,,,
9398,Technic,4x4 Crawler,199.99,1327,,,
9389,Education,Community Starter Set,199.99,1907,,,
10224,Advanced models,Town Hall,199.99,2766,8,,
10227,Star Wars,B-wing Starfighter,199.99,1487,,,
41999,Technic,4x4 Crawler Exclusive Edition ,199.99,1585,,,
10237,The Lord of the Rings,Tower of Orthanc,199.99,2359,5,,
60052,City,Cargo Train,199.99,888,4,,
71006,The Simpsons,The Simpsons House,199.99,2523,6,,
60098,City,Heavy-Haul Train,199.99,984,5,,
10247,Creator Expert,Ferris Wheel,199.99,2464,10,,
70751,Ninjago,Temple of Airjitzu,199.99,2028,13,,
75095,Star Wars,TIE Fighter,199.99,1685,1,,
71016,The Simpsons,Kwik-E-Mart,199.99,2179,6,,
75060,Star Wars,Slave I,199.99,1996,4,,
76023,DC Comics Super Heroes,The Tumbler,199.99,1869,2,,
910036,Bricklink,Ocean House,199.99,2207,4,,
42175,Technic,Volvo FMX Truck & EC230 Electric Excavator,199.99,2274,,,
31212,Art,The Milky Way Galaxy,199.99,3091,,,
21351,Ideas,Disney Tim Burton's The Nightmare Before Christmas,199.99,2193,8,,
71486,Dreamzzz,Castle Nocturnia,199.99,1742,11,,
76435,Harry Potter,Hogwarts Castle: The Great Hall ,199.99,1732,11,,
42639,Friends,Andrea's Modern Mansion,199.99,2275,10,,
10318,Icons,Concorde,199.99,2083,,,
910040,Bricklink,Harbourmaster's Office,199.99,2418,,,
42202,Technic,Ducati Panigale V4 S Motorcycle,199.99,1603,,,
76444,Harry Potter,Diagon Alley Wizarding Shops,199.99,2750,,,
910004,Bricklink,Winter Chalet,199.99,2705,7,,
60336,City,Freight Train,199.99,1153,6,,
42141,Technic,McLaren Formula 1 Race Car,199.99,1432,,,
10300,Icons,Back to the Future Time Machine,199.99,1872,2,,
76262,Marvel Super Heroes,Captain America's Shield,199.99,3128,1,,
42156,Technic,PEUGEOT 9X8 24H Le Mans Hybrid Hypercar,199.99,1775,,,
42157,Technic,John Deere 948L-II Skidder,199.99,1492,,,
75371,Star Wars,Chewbacca,199.99,2319,1,,
31209,Art,The Amazing Spider-Man,199.99,2099,,,
60380,City,Downtown,199.99,2010,14,,
10283,Icons,NASA Space Shuttle Discovery,199.99,2354,,,
71395,Super Mario,Super Mario 64 Question Mark Block,199.99,2064,,,
10278,Icons,Police Station,199.99,2923,5,,
76161,DC Comics Super Heroes,1989 Batwing,199.99,2363,3,,
42125,Technic,Ferrari 488 GTE 'AF Corse #51',199.99,1677,,,
60271,City,Main Square,199.99,1517,15,,
21322,Ideas,Pirates of Barracuda Bay,199.99,2545,10,,
75275,Star Wars,A-wing Starfighter,199.99,1673,1,,
10270,Creator Expert,Bookshop,199.99,2504,5,,
9686,Education,Simple & Powered Machines Set,199.95,396,2,,
3450,Advanced models,Statue of Liberty,199,2882,,,
1092,Dacta,Technic Control II,191,463,,,
60097,City,City Square,189.99,1683,14,,
80049,Monkie Kid,Dragon of the East Palace,189.99,2364,9,,
80039,Monkie Kid,The Heavenly Realms,189.99,2433,8,,
60337,City,Express Passenger Train,189.99,764,6,,
80054,Monkie Kid,Megapolis City,189.99,2330,16,,
1349,Studios,Steven Spielberg Moviemaker Set,180,442,7,,
7939,City,Cargo Train,179.99,839,4,,
10210,Advanced models,Imperial Flagship,179.99,1664,9,,
10225,Star Wars,R2-D2,179.99,2127,1,,
10228,Monster Fighters,Haunted House,179.99,2064,6,,
42069,Technic,Extreme Adventure,179.99,2382,,,
42054,Technic,CLAAS XERION 5000 TRAC VC,179.99,1977,,,
42098,Technic,Car Transporter,179.99,2493,,,
42096,Technic,Porsche 911 RSR,179.99,1580,,,
42078,Technic,Mack Anthem,179.99,2595,,,
21311,Ideas,Voltron,179.99,2321,,,
76286,Marvel Super Heroes,The Milano Spaceship,179.99,2090,5,,
75389,Star Wars,The Dark Falcon,179.99,1579,6,,
10337,Icons,Lamborghini Countach 5000 Quattrovalvole,179.99,1506,,,
10302,Icons,Optimus Prime,179.99,1508,,,
910009,Bricklink,Modular LEGO Store,179.99,2149,6,,
910003,Bricklink,Mountain Windmill,179.99,2085,,,
42160,Technic,Audi RS Q e-tron,179.99,914,,,
21338,Ideas,A-Frame Cabin,179.99,2082,4,,
43179,Disney,Mickey Mouse and Minnie Mouse Buildable Characters ,179.99,1739,,,
21325,Ideas,Medieval Blacksmith,179.99,2164,4,,
10292,Icons,The Friends Apartments,179.99,2048,7,,
910001,Bricklink,Castle in the Forest,179.99,1957,6,,
10279,Icons,Volkswagen T2 Camper Van,179.99,2207,,,
6991,Space,Monorail Transport Base,178,573,4,,
5004117,Gear,Multi-stud Red Adult Tachymeter Watch,174.99,,,,
9594,Education,Green City Challenge Set,174.95,1365,1,,
9656,Education,Early Simple Machines Set,174.95,102,2,,
45026,Education,Tubes,174.95,150,,,
9684,Education,Renewable Energy Set,170,729,4,,
8458,Technic,Silver Champion,170,1431,,,
4535,Trains,LEGO Express Deluxe,170,762,,,
9841,Mindstorms,NXT Intelligent Brick,169.99,1,,,
10287,Mindstorms,Intelligent NXT Brick (Black),169.99,1,,,
10260,Creator Expert,Downtown Diner,169.99,2480,6,,
75212,Star Wars,Kessel Run Millennium Falcon,169.99,1414,7,,
10265,Creator Expert,Ford Mustang,169.99,1471,,,
75257,Star Wars,Millennium Falcon,169.99,1351,7,,
10251,Creator Expert,Brick Bank,169.99,2380,5,,
75288,Star Wars,AT-AT,169.99,1267,6,,
80013,Monkie Kid,Monkie Kid's Team Secret HQ,169.99,1959,8,,
10295,Icons,Porsche 911,169.99,1458,,,
80024,Monkie Kid,The Legendary Flower Fruit Mountain,169.99,1949,8,,
75365,Star Wars,Yavin 4 Rebel Base,169.99,1066,12,,
76419,Harry Potter,Hogwarts Castle and Grounds,169.99,2660,1,,
10304,Icons,Chevrolet Camaro Z/28 1969,169.99,1456,,,
21333,Ideas,Vincent van Gogh - The Starry Night,169.99,2316,1,,
75323,Star Wars,The Justifier ,169.99,1022,5,,
42176,Technic,Porsche GT4 e-Performance Race Car,169.99,834,,,
42670,Friends,Heartlake City Apartments and Stores,169.99,2040,,,
45005,Education,Story Tales,169.95,109,6,,
10327,Icons,Dune Atreides Royal Ornithopter,164.99,1369,8,,
8479,Technic,Barcode Multi-Set,164,1280,,,
8675,Racers,Outdoor Challenger,160,104,,,
4534,Trains,LEGO Express,160,469,,,
10246,Creator Expert,Detective's Office,159.99,2262,6,,
21050,Architecture,Studio,159.99,1210,,,
10243,Creator Expert,Parisian Restaurant,159.99,2469,5,,
3677,City,Red Cargo Train,159.99,831,4,,
10937,DC Comics Super Heroes,Batman: Arkham Asylum Breakout,159.99,1619,8,,
70618,The LEGO Ninjago Movie,Destiny's Bounty,159.99,2295,7,,
75190,Star Wars,First Order Star Destroyer,159.99,1416,7,,
42066,Technic,Air Race Jet,159.99,1151,,,
17101,Boost,Boost Creative Toolbox,159.99,843,,,
60197,City,Passenger Train,159.99,677,4,,
910031,Bricklink,General Store,159.99,1906,5,,
43245,Disney,The Magical Madrigal House ,159.99,1560,7,,
75394,Star Wars,Imperial Star Destroyer,159.99,1555,7,,
60339,City,Double Loop Stunt Arena,159.99,598,7,,
60351,City,Rocket Launch Centre,159.99,1010,7,,
41704,Friends,Main Street Building,159.99,1682,8,,
80036,Monkie Kid,The City of Lanterns,159.99,2187,9,,
43215,Disney,The Enchanted Treehouse,159.99,1016,13,,
21060,Architecture,Himeji Castle,159.99,2125,,,
60368,City,Arctic Explorer Ship,159.99,815,7,,
71797,Ninjago,Destiny's Bounty - Race Against Time,159.99,1739,6,,
43225,Disney,The Little Mermaid Royal Clamshell,159.99,1808,5,,
75357,Star Wars,Ghost & Phantom II,159.99,1394,5,,
41732,Friends,Downtown Flower and Design Stores,159.99,2010,9,,
80045,Monkie Kid,Monkey King Ultra Mech,159.99,1705,6,,
42128,Technic,Heavy-Duty Tow Truck,159.99,2017,,,
76193,Marvel Super Heroes,The Guardians' Ship,159.99,1901,6,,
75315,Star Wars,Imperial Light Cruiser,159.99,1336,6,,
9805,Education,Duplo Play Wall,159.75,4,,,
8480,Technic,Space Shuttle,158,1368,,,
5005160,Gear,Stationery Kit,155.91,,,,
6990,Space,Monorail Transport System,155,731,5,,
7191,Star Wars,X-wing Fighter,150,1300,1,,
9735,Mindstorms,Robotics Discovery Set,150,390,,,
9785,Education,Robo Technology Set with Serial Transmitter,150,219,,,
9786,Education,Robo Technology Set with USB Transmitter,150,217,,,
9665,Dacta,Mechanical Engineering,150,318,,,
8421,Technic,Mobile Crane,150,1884,,,
7898,City,Cargo Train Deluxe,149.99,856,5,,
8275,Technic,Motorized Bulldozer,149.99,1384,,,
10198,Star Wars,Tantive IV,149.99,1408,5,,
10197,Advanced models,Fire Brigade,149.99,2231,4,,
8258,Technic,Crane Truck,149.99,1877,,,
10185,Advanced models,Green Grocer,149.99,2352,4,,
10184,Advanced models,Town Plan,149.99,1981,8,,
10211,Advanced models,Grand Emporium,149.99,2182,7,,
10217,Harry Potter,Diagon Alley,149.99,2025,12,,
10018,Star Wars,Darth Maul,149.99,1868,,,
60125,City,Volcano Heavy-Lift Helicopter,149.99,1277,8,,
60162,City,Jungle Air Drop Helicopter,149.99,1250,7,,
75189,Star Wars,First Order Heavy Assault Walker,149.99,1376,5,,
70912,The LEGO Batman Movie,Arkham Asylum,149.99,1628,13,,
42080,Technic,Forest Harvester,149.99,1003,,,
60200,City,Capital City,149.99,1211,13,,
10262,Creator Expert,James Bond Aston Martin DB5,149.99,1290,,,
21310,Ideas,Old Fishing Store,149.99,2049,4,,
60229,City,Rocket Assembly & Transport,149.99,1055,8,,
BL19002,Bricklink,Antique Fire Engine,149.99,1278,,,
BL19004,Bricklink,Wild West Saloon,149.99,1496,,,
70839,The LEGO Movie 2,The Rexcelsior!,149.99,1826,4,,
10232,Creator Expert,Palace Cinema,149.99,2196,6,,
10218,Advanced models,Pet Shop,149.99,2032,4,,
10241,Creator Expert,Maersk Line Triple-E,149.99,1518,,,
60051,City,High-speed Passenger Train,149.99,610,3,,
75105,Star Wars,Millennium Falcon,149.99,1329,7,,
42042,Technic,Crawler Crane,149.99,1401,,,
10244,Creator Expert,Fairground Mixer,149.99,1746,12,,
76389,Harry Potter,Hogwarts Chamber of Secrets,149.99,1176,11,,
80023,Monkie Kid,Monkie Kid's Team Dronecopter,149.99,1462,9,,
80012,Monkie Kid,Monkey King Warrior Mech,149.99,1629,6,,
42113,Technic,Bell-Boeing V-22 Osprey,149.99,1636,,,
60266,City,Ocean Exploration Ship,149.99,745,8,,
10321,Icons,Corvette,149.99,1210,,,
77015,Indiana Jones,Temple of the Golden Idol,149.99,1545,5,,
42140,Technic,App-Controlled Transformation Vehicle,149.99,772,,,
31206,Art,The Rolling Stones,149.99,1998,,,
42144,Technic,Material Handler,149.99,835,,,
71774,Ninjago,Lloyd's Golden Ultra Dragon ,149.99,989,9,,
75574,Avatar,Toruk Makto & Tree of Souls,149.99,1212,4,,
71822,Ninjago,Source Dragon of Motion,149.99,1716,6,,
21350,Ideas,Jaws,149.99,1497,3,,
80058,Monkie Kid,Celestial Pagoda,149.99,1621,7,,
76328,DC Comics Super Heroes,Batman: The Classic TV Series Batmobile,149.99,1822,1,,
5008878,Books,LEGO Star Wars: The Force of Creativity,149.99,,,,
41838,Miscellaneous,Travel Moments,149.99,1231,,,
42180,Technic,Mars Crew Exploration Rover,149.99,1599,,,
76453,Harry Potter,Malfoy Manor,149.99,1601,,,
5004816,DC Comics Super Heroes,Super Heroes DC Collection,149.98,,,,
9314,Education,Rescue Services Set,149.95,1490,,,
45401,Education,BricQ Motion Essential,149.95,523,,,
45400,Education,BricQ Motion Prime,149.95,562,,,
10001,Trains,Metroliner,149,782,11,,
4558,Trains,Metroliner,149,784,11,,
3723,Advanced models,LEGO Mini-Figure,149,1850,,,
9681,Education,eLAB Renewable Energy Set,145,721,4,,
5007116,Gear,Wooden Desk Drawer 8 Dark Oak,143.99,,,,
4565,Trains,Freight and Crane Railway,140,914,3,,
6399,Town,Airport Shuttle,140,767,9,,
1090,Dacta,Technic Control 1,140,404,,,
8369,Racers,Dirt Crusher RC,140,88,,,
10144,Star Wars,Sandcrawler,139.99,1669,11,,
10182,Advanced models,Cafe Corner,139.99,2056,3,,
8674,Racers,Ferrari F1 Racer 1:8,139.99,1246,,,
4512,World City,Cargo Train,139.99,544,3,,
42052,Technic,Heavy Lift Helicopter,139.99,1042,,,
70917,The LEGO Batman Movie,The Ultimate Batmobile,139.99,1456,8,,
10258,Creator Expert,London Bus,139.99,1686,,,
75220,Star Wars,Sandcrawler,139.99,1239,6,,
42081,Technic,Volvo Concept Wheel Loader ZEUX,139.99,1167,,,
42025,Technic,Cargo Plane,139.99,1297,,,
7965,Star Wars,Millennium Falcon,139.99,1254,6,,
9397,Technic,Logging Truck,139.99,1308,,,
75337,Star Wars,AT-TE Walker,139.99,1082,9,,
71469,Dreamzzz,Nightmare Shark Ship,139.99,1389,6,,
31141,Creator,Main Street,139.99,1459,6,,
41748,Friends,Heartlake City Community Centre,139.99,1513,6,,
80044,Monkie Kid,Monkie Kid's Team Hideout,139.99,1582,6,,
71756,Ninjago,Hydro Bounty,139.99,1159,10,,
76949,Jurassic World,Giganotosaurus & Therizinosaurus Attack,139.99,810,6,,
75292,Star Wars,The Razor Crest,139.99,1023,5,,
80016,Monkie Kid,The Flaming Foundry,139.99,1427,7,,
10428,Duplo,Big Interactive Community Train,139.99,103,,,
75374,Star Wars,The Onyx Cinder,139.99,1325,5,,
75354,Star Wars,Coruscant Guard Gunship,139.99,1083,5,,
80057,Monkie Kid,Nezha's Ring of Fire Mech,139.99,1163,6,,
76440,Harry Potter,Triwizard Tournament: The Arrival,139.99,1229,5,,
75398,Star Wars,C-3PO,139.99,1138,1,,
45681,Education,Spike Prime Expansion Set (v2),139.95,604,,,
5571,Model Team,Giant Truck,139,1757,,,
8868,Technic,Air Tech Claw Rig,139,954,,,
60434,City,Space Base and Rocket Launchpad,134.99,1422,8,,
4564,Trains,Freight Rail Runner,134,587,3,,
5007111,Gear,Wooden Desk Drawer 8 Light Oak,131.99,,,,
4559,Trains,Cargo Railway,130,842,7,,
4561,Trains,Railway Express,130,665,9,,
10129,Star Wars,Rebel Snowspeeder,130,1457,,,
8880,Technic,Super Car,130,1343,,,
8475,Racers,RC Race Buggy,130,283,,,
8366,Racers,Supersonic RC,130,429,,,
8448,Technic,Super Street Sensation,130,1437,,,
5526,Factory,Skyline,130,2747,,,
9580,Education,WeDo Construction Set,130,158,,,
4842,Harry Potter,Hogwarts Castle,129.99,1290,11,,
7938,City,Passenger Train,129.99,669,3,,
8461,Racers,Williams F1 Team Racer,129.99,1484,,,
10178,Star Wars,Motorized Walking AT-AT,129.99,1137,4,,
9474,The Lord of the Rings,The Battle of Helm's Deep,129.99,1368,8,,
42008,Technic,Service Truck,129.99,1276,,,
21017,Architecture,Imperial Hotel,129.99,1188,,,
42000,Technic,Grand Prix Racer,129.99,1141,,,
10233,Creator Expert,Horizon Express,129.99,1351,6,,
60062,City,Arctic Icebreaker,129.99,717,7,,
79018,The Hobbit,The Lonely Mountain,129.99,866,5,,
75055,Star Wars,Imperial Star Destroyer,129.99,1359,7,,
42039,Technic,24 Hours Race Car,129.99,1219,,,
75106,Star Wars,Imperial Assault Carrier,129.99,1216,6,,
41101,Friends,Heartlake Grand Hotel,129.99,1552,5,,
75919,Jurassic World,Indominus Rex Breakout,129.99,1156,4,,
10875,Duplo,Cargo Train,129.99,105,3,,
70655,Ninjago,Dragon Pit,129.99,1660,9,,
75930,Jurassic World,Indoraptor Rampage at Lockwood Estate,129.99,1019,6,,
21046,Architecture,Empire State Building,129.99,1767,,,
41375,Friends,Heartlake City Amusement Pier,129.99,1251,7,,
70677,Ninjago,Land Bounty,129.99,1178,9,,
